시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,위도,경도
천사노인요양원,A0007,(노인) 노인요양시설,노인의료복지시설,자치구,김샛별,1150000000,강서구,서울특별시 강서구 강서로45다길 30-22,37.5468646404276,126.833755739395
강서구립봉제산노인복지센터,A0922,(노인) 노인복지관(소규모),노인여가복지시설,자치구,서순애,1150000000,강서구,서울특별시 강서구 초록마을로15길 12,37.5417817549284,126.851334454737
우리모두데이케어센터,A1074,(노인) 재가노인복지시설,재가노인복지시설,자치구,김기철,1150000000,강서구,서울특별시 강서구 화곡로63가길 92,37.5618271977316,126.849770968231
한마음방문요양센터,A1153,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은점,1150000000,강서구,서울특별시 강서구 초록마을로14길 44 (화곡동),37.5411772566529,126.848067939395
참사랑재가노인지원센터,A1193,(노인) 재가노인복지시설,재가노인복지시설,자치구,조병기,1150000000,강서구,서울특별시 강서구 곰달래로 852,37.535823564228,126.837099683573
호선실버센터,A1926,(노인) 노인요양시설,노인의료복지시설,자치구,배국원,1150000000,강서구,서울특별시 강서구 수명로2길 96-0,37.5512812278262,126.82782940871
서울시립강서노인종합복지관,A2771,(노인) 노인복지관,노인여가복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85서울특별시 강서구 화곡로61길  85,37.5583036129195,126.847549697067
가양5데이케어센터,A2870,(노인) 재가노인복지시설,재가노인복지시설,자치구,조인영,1150000000,강서구,서울특별시 강서구 양천로57길 36,37.5637652876927,126.854757483574
서울시니어스타워㈜강서본부,A3022,(노인) 노인복지주택,노인주거복지시설,자치구,김영채,1150000000,강서구,서울특별시 강서구 공항대로 315 (등촌동),37.5586536915184,126.842749581724
강서노인복지관데이케어센터,A4373,(노인) 재가노인복지시설,재가노인복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85,37.5583206231319,126.847485324053
봄날실버센터,A4600,(노인) 노인요양시설,노인의료복지시설,자치구,김미숙,1150000000,강서구,서울특별시 강서구 금낭화로 39봄날실버센터,37.5690820731239,126.811490454738
시니어스너싱홈,A4602,(노인) 노인요양시설,노인의료복지시설,자치구,김동숙,1150000000,강서구,서울특별시 강서구 화곡로68길 102,37.5572038004141,126.859318225902
서울시니어스타워(주)가양본부,A4603,(노인) 노인복지주택,노인주거복지시설,자치구,박경숙,1150000000,강서구,서울특별시 강서구 화곡로68길 102 (등촌동,37.5572718018551,126.859200208532
한마음노인전문요양원,A4615,(노인) 노인요양시설,노인의료복지시설,자치구,이은점,1150000000,강서구,서울특별시 강서구 초록마을로14길 44 (화곡동),37.5412112848917,126.848089397066
강서구립봉제산데이케어센터,A5282,(노인) 재가노인복지시설,재가노인복지시설,자치구,서순애,1150000000,강서구,서울특별시 강서구 초록마을로15길 12,37.5417817549284,126.851345183573
쟌쥬강의집,A6835,(노인) 양로시설,노인주거복지시설,자치구,페르난데스,1150000000,강서구,서울특별시 강서구 까치산로14길 67,37.5441928817712,126.849949952888
강서구립곰달래어르신복지센터,A7046,(노인) 노인복지관(소규모),노인여가복지시설,자치구,조중현,1150000000,강서구,서울특별시 강서구 강서로5길 50 (화곡동),37.5292694906172,126.848429352887
선화요양원,A7202,(노인) 노인요양시설,노인의료복지시설,자치구,원창근,1150000000,강서구,서울특별시 강서구 등촌로 1833층 (등촌동),37.5562529977355,126.859345794088
케어콜요양원,A7494,(노인) 노인요양공동생활가정,노인의료복지시설,자치구,,1150000000,강서구,서울특별시 강서구 강서로5나길74,37.5287646090631,126.844049825901
행복한집,A7965,(노인) 노인요양시설,노인의료복지시설,자치구,문명희,1150000000,강서구,서울특별시 강서구 개화동로11길 3-12,37.57902284588,126.800359366382
서울시니어스타워(주),A9021,(노인) 재가노인복지시설,재가노인복지시설,자치구,김영재,1150000000,강서구,서울특별시 강서구 화곡로68길 102,37.5572633370192,126.85927531056
봄날서울요양원,A9082,(노인) 노인요양시설,노인의료복지시설,자치구,정용규,1150000000,강서구,서울특별시 강서구 양천로1길 100,37.574279045663,126.809176624053
훼미피아데이케어센터,A9313,(노인) 재가노인복지시설,재가노인복지시설,자치구,송인석,1150000000,강서구,서울특별시 강서구 공항대로39길 59등촌4종합사회복지관내,37.5610419999725,126.843731581724
강서구립화곡노인복지센터,A9619,(노인) 노인복지관(소규모),노인여가복지시설,자치구,범현,1150000000,강서구,서울특별시 강서구 월정로30길 963층~5층,37.5356484569922,126.841034910559
강서구립연지노인복지센터,A9646,(노인) 노인복지관(소규모),노인여가복지시설,자치구,범현,1150000000,강서구,서울특별시 강서구 화곡로58길 30-7,37.5525541010515,126.852722898916
강서구립연지데이케어센터,A9794,(노인) 재가노인복지시설,재가노인복지시설,자치구,이재민,1150000000,강서구,서울특별시 강서구 화곡로58길 30-7,37.5526136413715,126.852604881724
마드레나자레나의집,B0238,(아동) 공동생활가정,아동복지시설,자치구,이정임,1150000000,강서구,서울특별시 강서구 강서로26길 51-8,37.5407402293642,126.844854754737
성광행복한지역아동센터,B0246,(아동) 지역아동센터,아동복지시설,자치구,김명희,1150000000,강서구,서울특별시 강서구 양천로26길 103청구상가 202,37.5731905584344,126.821254754738
열린지역아동센터,B0734,(아동) 지역아동센터,아동복지시설,자치구,최승호,1150000000,강서구,서울특별시 강서구 초록마을로22길 8-5,37.5402997304198,126.850647239395
살레시오방화동나눔의집,B0795,(아동) 공동생활가정,아동복지시설,자치구,김혜숙,1150000000,강서구,서울특별시 강서구 방화대로45길 56-4,37.5746725545421,126.813472968231
꿈나무학교,B0808,(아동) 지역아동센터,아동복지시설,자치구,김준혁,1150000000,강서구,서울특별시 강서구 가로공원로 214-1,37.5374112523663,126.839792710559
람원행복한홈스쿨지역아동센터,B0832,(아동) 지역아동센터,아동복지시설,자치구,박미자,1150000000,강서구,서울특별시 강서구 까치산로 160-5,37.5517327147772,126.852948710559
솔로몬지역아동센터,B1110,(아동) 지역아동센터,아동복지시설,자치구,엄은영,1150000000,강서구,서울특별시 강서구 양천로1길 1062층,37.5811874920511,126.810405966806
밝은지역아동센터,B1948,(아동) 지역아동센터,아동복지시설,자치구,조은아,1150000000,강서구,서울특별시 강서구 강서로47다길 411층,37.5797857353615,126.81315236642
화곡지역아동센터,B2413,(아동) 지역아동센터,아동복지시설,자치구,최덕성,1150000000,강서구,서울특별시 강서구 등촌로5길 79,37.5329304962314,126.859052810559
강서지역아동복지센터,B2418,(아동) 지역아동센터(지역아동복지센터),아동복지시설,자치구,박국자,1150000000,강서구,서울특별시 강서구 금낭화로26가길 120,37.5844045354309,126.81181881056
주함지역아동센터,B2432,(아동) 지역아동센터,아동복지시설,자치구,주현구,1150000000,강서구,서울특별시 강서구 강서로18길 414층 (화곡동),37.5307035995536,126.85000993645
희망지역아동센터,B3743,(아동) 지역아동센터,아동복지시설,자치구,하순정,1150000000,강서구,서울특별시 강서구 강서로56길 963층 (등촌동),37.5645635981713,126.843494622033
경향지역아동센터,B4057,(아동) 지역아동센터,아동복지시설,자치구,이은숙,1150000000,강서구,서울특별시 강서구 화곡로63길 19(등촌동),37.5573859104064,126.851644383573
좋은사람들지역아동센터,B8149,(아동) 지역아동센터,아동복지시설,자치구,황수미,1150000000,강서구,서울특별시 강서구 화곡로31길 392층,37.5445683134962,126.841227739395
새하늘지역아동센터,B8381,(아동) 지역아동센터,아동복지시설,자치구,이은혜,1150000000,강서구,서울특별시 강서구 화곡로24길 161층,37.3217522169224,127.97224245473
좋은친구청소년지역아동센터,B8405,(아동) 지역아동센터,아동복지시설,자치구,박민선,1150000000,강서구,서울특별시 강서구 가로공원로 237-0(화곡동,37.5390204009067,126.841916400772
위캔지역아동센터,B8545,(아동) 지역아동센터,아동복지시설,자치구,최선영,1150000000,강서구,서울특별시 강서구 까치산로12길 8-164층,37.5727550282036,126.844973215881
한길지역아동센터,B8928,(아동) 지역아동센터,아동복지시설,자치구,김옥열,1150000000,강서구,서울특별시 강서구 공항대로65길 21-0상가 1층,37.5509455347558,126.868402025902
예원,B9467,(아동) 공동생활가정,아동복지시설,자치구,김필저,1150000000,강서구,서울특별시 강서구 강서로45길138,37.551480991813,126.831493139395
방화지역아동센터,B9555,(아동) 지역아동센터,아동복지시설,자치구,이동훈,1150000000,강서구,서울특별시 강서구 양천로6길28,37.5709597532435,126.806811339396
